title,platform,release_year,runtime,genre,budget,revenue,vote_average,vote_count
Dick Johnson Is Dead,Netflix,2020.0,90.0,Documentaries,,,,
My Little Pony: A New Generation,Netflix,2021.0,91.0,Children & Family Movies,,,,
Sankofa,Netflix,1993.0,125.0,Dramas,1000000.0,2691899.0,6.9,5.0
The Starling,Netflix,2021.0,104.0,Comedies,,,,
Je Suis Karl,Netflix,2021.0,127.0,Dramas,,,,
Confessions of an Invisible Girl,Netflix,2021.0,91.0,Children & Family Movies,,,,
Europe's Most Dangerous Man: Otto Skorzeny in Spain,Netflix,2020.0,67.0,Documentaries,,,,
Intrusion,Netflix,2021.0,94.0,Thrillers,,,,
Avvai Shanmughi,Netflix,1996.0,161.0,Comedies,,,,
Go! Go! Cory Carson: Chrissy Takes the Wheel,Netflix,2021.0,61.0,Children & Family Movies,,,,
Jeans,Netflix,1998.0,166.0,Comedies,,,,
Minsara Kanavu,Netflix,1997.0,147.0,Comedies,,,,
Grown Ups,Netflix,2010.0,103.0,Comedies,80000000.0,271430189.0,6.0,1746.0
Dark Skies,Netflix,2013.0,97.0,Horror Movies,3500000.0,25174316.0,6.1,668.0
Paranoia,Netflix,2013.0,106.0,Thrillers,35000000.0,13785015.0,5.6,358.0
Paranoia,Netflix,2013.0,106.0,Thrillers,0.0,0.0,6.2,6.0
Paranoia,Netflix,2013.0,106.0,Thrillers,0.0,0.0,6.0,1.0
Ankahi Kahaniya,Netflix,2021.0,111.0,Dramas,,,,
The Father Who Moves Mountains,Netflix,2021.0,110.0,Dramas,,,,
The Stronghold,Netflix,2021.0,105.0,Action & Adventure,,,,
Birth of the Dragon,Netflix,2017.0,96.0,Action & Adventure,,,,
Jaws,Netflix,1975.0,124.0,Action & Adventure,7000000.0,470654000.0,7.5,2628.0
Jaws 2,Netflix,1978.0,116.0,Dramas,20000000.0,187884007.0,5.9,412.0
Jaws 3,Netflix,1983.0,98.0,Action & Adventure,,,,
Jaws: The Revenge,Netflix,1987.0,91.0,Action & Adventure,23000000.0,51881013.0,3.5,227.0
My Heroes Were Cowboys,Netflix,2021.0,23.0,Documentaries,,,,
Safe House,Netflix,2012.0,115.0,Action & Adventure,0.0,0.0,5.9,7.0
Safe House,Netflix,2012.0,115.0,Action & Adventure,85000000.0,208076205.0,6.3,1361.0
Training Day,Netflix,2001.0,122.0,Dramas,45000000.0,104876233.0,7.3,1665.0
InuYasha the Movie 2: The Castle Beyond the Looking Glass,Netflix,2002.0,99.0,Action & Adventure,0.0,0.0,6.6,15.0
InuYasha the Movie 3: Swords of an Honorable Ruler,Netflix,2003.0,99.0,Action & Adventure,,,,
InuYasha the Movie 4: Fire on the Mystic Island,Netflix,2004.0,88.0,Action & Adventure,,,,
InuYasha the Movie: Affections Touching Across Time,Netflix,2001.0,100.0,Action & Adventure,,,,
Naruto Shippuden the Movie: Blood Prison,Netflix,2011.0,102.0,Action & Adventure,,,,
Naruto Shippûden the Movie: Bonds,Netflix,2008.0,93.0,Action & Adventure,,,,
Naruto Shippûden the Movie: The Will of Fire,Netflix,2009.0,96.0,Action & Adventure,,,,
Naruto Shippuden: The Movie,Netflix,2007.0,95.0,Action & Adventure,,,,
Naruto Shippuden: The Movie: The Lost Tower,Netflix,2010.0,85.0,Action & Adventure,,,,
Naruto the Movie 2: Legend of the Stone of Gelel,Netflix,2005.0,97.0,Action & Adventure,,,,
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Netflix,2006.0,95.0,Action & Adventure,,,,
Naruto the Movie: Ninja Clash in the Land of Snow,Netflix,2004.0,83.0,Action & Adventure,0.0,0.0,6.2,72.0
Nightbooks,Netflix,2021.0,103.0,Children & Family Movies,,,,
Schumacher,Netflix,2021.0,113.0,Documentaries,,,,
A StoryBots Space Adventure,Netflix,2021.0,13.0,Children & Family Movies,,,,
King of Boys,Netflix,2018.0,182.0,Dramas,,,,
You vs. Wild: Out Cold,Netflix,2021.0,106.0,Children & Family Movies,,,,
Little Singham - Black Shadow,Netflix,2021.0,48.0,Children & Family Movies,,,,
Tughlaq Durbar,Netflix,2020.0,145.0,Comedies,,,,
Tughlaq Durbar (Telugu),Netflix,2021.0,145.0,Comedies,,,,
Firedrake the Silver Dragon,Netflix,2021.0,93.0,Children & Family Movies,,,,
Kate,Netflix,2021.0,106.0,Action & Adventure,,,,
Omo Ghetto: the Saga,Netflix,2020.0,147.0,Action & Adventure,,,,
Prey,Netflix,2021.0,87.0,International Movies,0.0,0.0,5.1,11.0
Prey,Netflix,2021.0,87.0,International Movies,0.0,0.0,5.0,2.0
Prey,Netflix,2021.0,87.0,International Movies,0.0,0.0,5.9,8.0
Blood Brothers: Malcolm X & Muhammad Ali,Netflix,2021.0,96.0,Documentaries,,,,
Paradise Hills,Netflix,2019.0,95.0,Sci-Fi & Fantasy,,,,
The Women and the Murderer,Netflix,2021.0,92.0,Documentaries,,,,
JJ+E,Netflix,2021.0,91.0,Dramas,,,,
Show Dogs,Netflix,2018.0,90.0,Children & Family Movies,,,,
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Netflix,2018.0,97.0,Documentaries,,,,
Untold: Breaking Point,Netflix,2021.0,80.0,Documentaries,,,,
Shadow Parties,Netflix,2020.0,117.0,Dramas,,,,
Angamaly Diaries,Netflix,2017.0,128.0,Action & Adventure,,,,
A Champion Heart,Netflix,2018.0,90.0,Children & Family Movies,,,,
Worth,Netflix,2021.0,119.0,Dramas,,,,
Afterlife of the Party,Netflix,2021.0,110.0,Comedies,,,,
Anjaam,Netflix,1994.0,143.0,Dramas,,,,
Bright Star,Netflix,2009.0,119.0,Dramas,8500000.0,4440055.0,6.8,111.0
Dhanak,Netflix,2015.0,114.0,Comedies,0.0,0.0,7.9,7.0
Final Account,Netflix,2021.0,94.0,Documentaries,,,,
Gurgaon,Netflix,2017.0,106.0,Dramas,,,,
Here and There,Netflix,2020.0,99.0,Dramas,0.0,0.0,6.5,3.0
In the Cut,Netflix,2003.0,118.0,Thrillers,12000000.0,23.0,4.7,93.0
Shikara,Netflix,2020.0,115.0,Dramas,,,,
A Cinderella Story,Netflix,2004.0,95.0,Children & Family Movies,19000000.0,70067909.0,6.1,737.0
Agatha Christie's Crooked House,Netflix,2017.0,115.0,Dramas,,,,
An Unfinished Life,Netflix,2005.0,108.0,Dramas,30000000.0,18618284.0,6.7,165.0
Barbie Big City Big Dreams,Netflix,2021.0,63.0,Children & Family Movies,,,,
Blade Runner: The Final Cut,Netflix,1982.0,117.0,Action & Adventure,,,,
Chappie,Netflix,2015.0,121.0,Action & Adventure,49000000.0,104399548.0,6.6,3124.0
Clear and Present Danger,Netflix,1994.0,142.0,Action & Adventure,62000000.0,215887717.0,6.4,390.0
Cliffhanger,Netflix,1993.0,113.0,Action & Adventure,70000000.0,255000211.0,6.1,600.0
Cold Mountain,Netflix,2003.0,154.0,Dramas,79000000.0,173013509.0,6.7,545.0
Crocodile Dundee in Los Angeles,Netflix,2001.0,95.0,Action & Adventure,21150000.0,39438674.0,4.7,149.0
Dear John,Netflix,2010.0,108.0,Dramas,25000000.0,114977104.0,6.6,1302.0
Do the Right Thing,Netflix,1989.0,120.0,Classic Movies,6500000.0,37295445.0,7.6,301.0
"El patrón, radiografía de un crimen",Netflix,2014.0,100.0,Dramas,,,,
Extraction,Netflix,2015.0,82.0,Action & Adventure,1100000.0,0.0,5.5,13.0
Extraction,Netflix,2015.0,82.0,Action & Adventure,0.0,16775.0,4.3,102.0
Freedom Writers,Netflix,2007.0,124.0,Dramas,21000000.0,41170784.0,7.6,368.0
Green Lantern,Netflix,2011.0,114.0,Action & Adventure,200000000.0,219851172.0,5.1,2551.0
House Party,Netflix,1990.0,104.0,Comedies,2500000.0,26386000.0,6.1,52.0
House Party 2,Netflix,1991.0,94.0,Comedies,0.0,0.0,4.7,22.0
House Party 3,Netflix,1994.0,94.0,Comedies,0.0,0.0,4.6,11.0
I Got the Hook Up,Netflix,1998.0,93.0,Action & Adventure,0.0,0.0,5.4,8.0
In Too Deep,Netflix,1999.0,97.0,Thrillers,7000000.0,14011454.0,6.3,18.0
Initial D,Netflix,2005.0,109.0,Action & Adventure,1549000.0,7096000.0,6.3,46.0
Janoskians: Untold and Untrue,Netflix,2016.0,88.0,Comedies,,,,
Labyrinth,Netflix,1986.0,101.0,Action & Adventure,25000000.0,12729917.0,7.1,618.0
Labyrinth,Netflix,1986.0,101.0,Action & Adventure,20000000.0,0.0,5.9,16.0
Labyrinth,Netflix,1986.0,101.0,Action & Adventure,0.0,0.0,5.5,4.0
Labyrinth,Netflix,1986.0,101.0,Action & Adventure,0.0,0.0,7.0,13.0
